index	predictions
0	neutral
1	contradiction
2	entailment
3	contradiction
4	contradiction
5	contradiction
6	contradiction
7	neutral
8	contradiction
9	neutral
10	contradiction
11	contradiction
12	contradiction
13	entailment
14	contradiction
15	entailment
16	entailment
17	entailment
18	neutral
19	contradiction
20	neutral
21	entailment
22	neutral
23	neutral
24	neutral
25	contradiction
26	neutral
27	contradiction
28	neutral
29	contradiction
30	entailment
31	neutral
32	contradiction
33	entailment
34	entailment
35	neutral
36	neutral
37	entailment
38	neutral
39	contradiction
40	neutral
41	contradiction
42	neutral
43	contradiction
44	contradiction
45	contradiction
46	entailment
47	entailment
48	entailment
49	entailment
50	neutral
51	contradiction
52	neutral
53	contradiction
54	contradiction
55	neutral
56	neutral
57	contradiction
58	contradiction
59	neutral
60	neutral
61	entailment
62	neutral
63	contradiction
64	contradiction
65	entailment
66	entailment
67	contradiction
68	entailment
69	neutral
70	contradiction
71	neutral
72	contradiction
73	contradiction
74	contradiction
75	neutral
76	entailment
77	entailment
78	contradiction
79	contradiction
80	neutral
81	entailment
82	neutral
83	contradiction
84	neutral
85	contradiction
86	neutral
87	entailment
88	entailment
89	entailment
90	neutral
91	neutral
92	contradiction
93	entailment
94	entailment
95	neutral
96	entailment
97	neutral
98	neutral
99	entailment
100	neutral
101	entailment
102	entailment
103	entailment
104	contradiction
105	neutral
106	entailment
107	entailment
108	contradiction
109	contradiction
110	contradiction
111	entailment
112	entailment
113	contradiction
114	entailment
115	entailment
116	entailment
117	entailment
118	entailment
119	neutral
120	entailment
121	contradiction
122	entailment
123	contradiction
124	entailment
125	neutral
126	contradiction
127	entailment
128	entailment
129	entailment
130	entailment
131	neutral
132	contradiction
133	contradiction
134	entailment
135	entailment
136	entailment
137	contradiction
138	entailment
139	neutral
140	neutral
141	entailment
142	neutral
143	neutral
144	contradiction
145	neutral
146	entailment
147	neutral
148	neutral
149	contradiction
150	contradiction
151	entailment
152	entailment
153	entailment
154	contradiction
155	neutral
156	neutral
157	entailment
158	contradiction
159	entailment
160	contradiction
161	entailment
162	contradiction
163	neutral
164	neutral
165	neutral
166	contradiction
167	entailment
168	contradiction
169	neutral
170	neutral
171	neutral
172	contradiction
173	neutral
174	neutral
175	contradiction
176	contradiction
177	entailment
178	neutral
179	entailment
180	contradiction
181	contradiction
182	contradiction
183	neutral
184	entailment
185	entailment
186	contradiction
187	entailment
188	neutral
189	neutral
190	neutral
191	contradiction
192	neutral
193	entailment
194	contradiction
195	entailment
196	entailment
197	neutral
198	entailment
199	entailment
200	neutral
201	entailment
202	entailment
203	neutral
204	entailment
205	neutral
206	entailment
207	contradiction
208	neutral
209	neutral
210	entailment
211	contradiction
212	neutral
213	neutral
214	entailment
215	contradiction
216	contradiction
217	entailment
218	contradiction
219	neutral
220	entailment
221	contradiction
222	entailment
223	contradiction
224	entailment
225	neutral
226	contradiction
227	entailment
228	entailment
229	neutral
230	neutral
231	neutral
232	entailment
233	entailment
234	neutral
235	contradiction
236	entailment
237	contradiction
238	neutral
239	entailment
240	contradiction
241	neutral
242	neutral
243	entailment
244	contradiction
245	neutral
246	contradiction
247	neutral
248	contradiction
249	entailment
250	neutral
251	neutral
252	neutral
253	contradiction
254	neutral
255	neutral
256	neutral
257	neutral
258	entailment
259	entailment
260	contradiction
261	entailment
262	contradiction
263	entailment
264	entailment
265	neutral
266	contradiction
267	neutral
268	contradiction
269	entailment
270	entailment
271	contradiction
272	contradiction
273	contradiction
274	entailment
275	entailment
276	neutral
277	contradiction
278	entailment
279	entailment
280	entailment
281	entailment
282	contradiction
283	contradiction
284	contradiction
285	neutral
286	contradiction
287	contradiction
288	entailment
289	entailment
290	neutral
291	entailment
292	entailment
293	entailment
294	entailment
295	neutral
296	contradiction
297	contradiction
298	contradiction
299	contradiction
300	contradiction
301	neutral
302	neutral
303	contradiction
304	contradiction
305	entailment
306	entailment
307	entailment
308	contradiction
309	contradiction
310	entailment
311	contradiction
312	contradiction
313	contradiction
314	neutral
315	contradiction
316	contradiction
317	neutral
318	neutral
319	neutral
320	contradiction
321	contradiction
322	entailment
323	neutral
324	entailment
325	neutral
326	contradiction
327	neutral
328	neutral
329	entailment
330	neutral
331	contradiction
332	neutral
333	contradiction
334	contradiction
335	entailment
336	entailment
337	contradiction
338	contradiction
339	contradiction
340	entailment
341	neutral
342	contradiction
343	entailment
344	contradiction
345	contradiction
